id,area,gender,age,lots_of_jobs,high_PoL,good_city_culture,places_for_visitors,quality_education,public_crisis_support,good_for_kids,places_for_disadvantaged,quality_of_healthcare,safe_at_night,safe_from_accidents,safe_drinking_public_water,air_pollution_problem,good_public_transport,nice_close_places,close_groceries,easy_city_info,gov_address_citizen_issues,admin_transparent,friends_come_over_lots,lots_volunteer_activities,health_score,city_pride,happy_score,education,household_income,occupation,marital_status,religion
1,Seoul,male,24,2,2,2,4,4,4,NA,NA,4,3,3,3,2,2,3,3,1,NA,3,3,3,1,3,2,6,3,8,2,8
2,Seoul,male,68,4,2,3,4,4,4,3,4,4,3,4,4,2,2,3,3,3,3,3,3,3,4,2,3,7,3,10,2,5
3,Seoul,male,73,4,2,2,4,4,4,NA,4,3,4,4,4,2,2,3,3,NA,NA,4,2,2,4,3,2,4,2,10,2,5
4,Seoul,male,23,2,3,2,3,3,3,NA,NA,5,3,3,3,1,1,3,2,1,NA,3,3,3,1,3,2,6,4,8,1,1
5,Seoul,female,32,3,2,2,3,3,3,3,NA,4,4,4,4,2,2,3,3,2,NA,NA,3,3,2,3,2,7,3,9,2,8
6,Seoul,female,49,2,2,2,2,2,2,2,NA,5,2,5,5,1,1,2,2,1,NA,NA,2,1,2,3,3,7,3,9,2,2
7,Seoul,male,66,4,2,3,4,4,4,NA,4,4,4,4,4,2,2,3,3,3,3,4,3,3,3,3,3,4,2,10,NA,8
8,Seoul,female,59,2,2,2,4,2,4,4,4,4,4,4,4,2,2,2,2,2,5,2,2,2,4,3,3,4,3,9,2,1
9,Seoul,male,42,2,4,2,4,3,4,3,3,4,4,4,4,2,1,4,2,1,4,4,4,4,3,2,2,4,2,6,2,8
10,Seoul,female,29,4,2,3,4,4,4,4,4,3,4,4,2,1,1,3,3,2,3,3,3,3,2,3,2,7,3,9,2,8
11,Seoul,female,30,4,3,3,3,4,4,4,4,3,4,4,4,1,1,3,3,3,3,NA,2,NA,2,4,2,7,2,9,2,8
12,Seoul,female,48,3,2,3,4,4,4,4,4,5,4,4,4,2,2,4,3,2,NA,NA,4,3,3,3,2,4,3,9,2,5
13,Seoul,female,80,4,2,2,3,2,4,NA,3,3,4,NA,4,2,2,2,2,NA,NA,NA,2,2,2,1,2,1,1,9,4,2
14,Seoul,female,49,3,2,3,4,4,4,4,4,5,4,4,4,2,2,4,3,2,NA,NA,3,3,3,3,2,4,3,9,2,5
15,Seoul,female,75,NA,2,4,4,NA,4,NA,4,4,4,4,3,1,2,3,3,NA,NA,NA,3,3,4,3,3,2,1,9,4,5
16,Seoul,female,72,5,2,3,3,3,4,3,4,4,4,4,4,2,2,3,3,NA,NA,3,3,3,3,NA,NA,3,3,9,4,2
17,Seoul,female,35,3,2,3,3,4,4,4,4,4,4,4,2,2,2,3,3,2,NA,3,4,3,2,3,2,7,3,9,2,1
18,Seoul,female,29,3,2,2,3,4,4,4,4,4,4,4,2,2,2,3,3,2,3,3,4,3,1,2,1,7,3,9,2,2
19,Seoul,male,55,3,2,3,3,4,4,4,4,5,4,4,4,2,2,4,3,1,NA,3,4,3,2,3,2,4,3,2,2,5
20,Seoul,male,46,2,2,3,3,4,4,3,4,4,4,4,4,2,2,3,3,2,3,3,3,3,2,3,2,7,3,6,2,5
21,Seoul,male,81,4,2,3,3,3,4,3,4,4,4,4,4,2,1,3,3,NA,NA,NA,3,3,3,2,2,7,3,10,2,1
22,Seoul,male,34,1,1,3,4,4,4,4,4,4,3,3,4,2,1,3,3,1,3,3,4,4,2,3,2,7,3,6,2,8
23,Seoul,female,60,4,2,3,4,3,4,4,4,4,4,4,4,2,NA,1,3,NA,3,4,2,3,3,2,2,3,2,9,2,5
24,Seoul,male,21,1,2,1,3,3,NA,NA,NA,4,3,3,4,2,1,3,1,1,3,3,3,3,1,3,NA,6,3,8,1,8
25,Seoul,female,47,2,2,2,3,3,4,4,4,4,3,3,4,2,1,4,2,1,NA,NA,3,3,2,2,2,4,3,9,2,5
26,Seoul,female,36,1,1,1,3,3,4,4,4,5,5,5,5,1,1,5,3,1,NA,4,5,4,1,3,1,7,4,3,2,2
27,Seoul,female,70,2,4,2,2,NA,NA,NA,NA,2,2,2,5,4,1,1,NA,NA,NA,3,1,NA,3,1,1,3,3,9,2,5
28,Seoul,male,53,1,1,2,3,3,4,3,4,5,3,4,4,1,2,4,2,1,3,4,3,3,3,3,2,7,3,2,2,8
